first_name;last_name;date_of_birth;year_of_birth;street_address;email;gender;region;campus;entry_level;year_of_entry;year_of_exit;study_lenght;level_of_exit;still_student;level;contratPro;speciality;compta_paymentType;compta_paid;compta_paymentDue;compta_relance
Lucien;Mawson;09/07/1996;1996;175 Bultman Parkway;lucienmawson@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2018;2019;1;B.ENG 1;false;;false;;Comptant;true;0;
Tracy;MacCroary;23/05/1977;1977;57 Mccormick Circle;tracymaccroary@supinfo.com;Female;Centre-Val de Loire;Distanciel;B.ENG 1;2009;2010;1;B.ENG 1;false;;false;;Comptant;true;0;
Cesya;Seago;23/08/1990;1990;4707 Lillian Plaza;cesyaseago@supinfo.com;Female;Centre-Val de Loire;Tours;B.ENG 1;2008;2013;5;M.ENG 2;false;;false;;Comptant;true;0;
Carolee;Dimitrie;23/01/1989;1989;0216 Havey Hill;caroleedimitrie@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2005;2011;6;M.ENG 2;false;;false;;Comptant;true;0;
Drugi;Handford;10/06/1996;1996;351 Farwell Parkway;drugihandford@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2014;2017;3;B.ENG 3;false;;false;;Comptant;true;0;
Adolphus;Shorrock;24/03/1999;1999;7480 Haas Lane;adolphusshorrock@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2020;;2;;true;B.ENG 2;false;;Comptant;false;2744;false
Lew;de Aguirre;10/05/1987;1987;54 Eastlawn Point;lewde aguirre@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2008;2011;3;B.ENG 3;false;;false;;Comptant;true;0;
Hugh;Philipet;09/03/1987;1987;68518 Hoepker Street;hughphilipet@supinfo.com;Female;Normandie;Distanciel;B.ENG 1;2003;2005;2;B.ENG 2;false;;false;;Comptant;true;0;
Yovonnda;Boylund;20/11/1981;1981;3528 Nancy Alley;yovonndaboylund@supinfo.com;Female;Centre-Val de Loire;Tours;B.ENG 3;2017;2018;1;B.ENG 3;false;;false;;Comptant;true;0;
Carlie;Apfler;24/03/1992;1992;05 Ilene Point;carlieapfler@supinfo.com;Female;Corse;Distanciel;M.ENG 1;2010;2016;6;M.ENG 2;false;;false;;Comptant;true;0;
Jacquenetta;Ruddell;17/02/1999;1999;3 Packers Way;jacquenettaruddell@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 1;2015;2018;3;B.ENG 3;false;;false;;Comptant;true;0;
Maddi;Klich;26/02/1994;1994;94350 Nelson Plaza;maddiklich@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2011;2012;1;B.ENG 1;false;;false;;Echelonnement;true;0;
Terza;Eefting;06/09/1992;1992;759 Schlimgen Point;terzaeefting@supinfo.com;Male;Normandie;Caen;B.ENG 1;2008;2011;3;B.ENG 3;false;;false;;Echelonnement;true;0;
Tera;Humfrey;02/04/1981;1981;106 Corry Road;terahumfrey@supinfo.com;Female;Bretagne;Distanciel;M.ENG 1;2009;2012;3;M.ENG 2;false;;false;;Comptant;true;0;
Page;Shorto;06/09/1982;1982;069 Raven Hill;pageshorto@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Comptant;true;0;
Daile;Dixcee;11/04/2001;2001;81653 Lakewood Gardens Pass;dailedixcee@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 3;true;;OPCA;true;0;
Sullivan;Beincken;13/06/1983;1983;1659 Montana Center;sullivanbeincken@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2013;2015;2;B.ENG 1;false;;false;;Comptant;true;0;
Gui;Emney;21/07/2002;2002;63440 Briar Crest Point;guiemney@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Comptant;true;0;
Keelby;Tidd;29/03/1986;1986;40542 Prentice Lane;keelbytidd@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2016;2017;1;B.ENG 1;false;;false;;Comptant;true;0;
Rene;Chessil;19/11/1987;1987;00120 Quincy Point;renechessil@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2005;2007;2;B.ENG 2;false;;false;;Comptant;true;0;
Jean;Olivetta;20/05/1986;1986;4931 Michigan Junction;jeanolivetta@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2002;2008;6;M.ENG 2;false;;false;;Comptant;true;0;
Ariadne;Guinery;13/10/1990;1990;93792 Hallows Parkway;ariadneguinery@supinfo.com;Female;Occitanie;Distanciel;B.ENG 1;2012;2016;4;M.ENG 1;false;;false;;Comptant;true;0;
Barth;Ruddock;04/11/1997;1997;32 North Lane;barthruddock@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;2017;;5;;true;M.ENG 2;true;Systemes Reseaux et securité;OPCA;true;0;
Georgie;Rigard;02/06/1991;1991;2 Thompson Plaza;georgierigard@supinfo.com;Female;Corse;Distanciel;B.ENG 1;2008;2013;5;M.ENG 2;false;;false;;Comptant;true;0;
Stephenie;Dowty;05/09/1987;1987;170 Petterle Park;stepheniedowty@supinfo.com;Female;Corse;Distanciel;B.ENG 1;2003;2005;2;B.ENG 2;false;;false;;Comptant;true;0;
Sayre;Strainge;14/11/2000;2000;06566 Arapahoe Crossing;sayrestrainge@supinfo.com;Female;Normandie;Caen;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Echelonnement;false;5888;false
Seymour;Peaddie;25/11/1997;1997;19 Almo Plaza;seymourpeaddie@supinfo.com;Female;Normandie;Caen;B.ENG 1;2015;2018;3;B.ENG 3;false;;false;;Comptant;true;0;
Janey;Daldry;22/09/2001;2001;02 3rd Point;janeydaldry@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2017;;5;;true;M.ENG 2;true;Data Engineering;OPCA;true;0;
Ezekiel;Baroc;16/03/1985;1985;7204 Farmco Circle;ezekielbaroc@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2002;2003;1;B.ENG 1;false;;false;;Comptant;true;0;
Lane;Mather;28/01/1987;1987;7 Russell Road;lanemather@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2005;2010;5;M.ENG 2;false;;false;;Echelonnement;true;0;
Dari;Khoter;20/05/1994;1994;7638 Onsgard Court;darikhoter@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2011;2012;1;B.ENG 1;false;;false;;Echelonnement;true;0;
Edi;Gerling;14/11/1988;1988;6783 Arizona Lane;edigerling@supinfo.com;Male;Normandie;Caen;B.ENG 3;2015;2017;2;M.ENG 1;false;;false;;Comptant;true;0;
Maje;Murie;18/05/1989;1989;2 Golf Course Circle;majemurie@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2005;2011;6;M.ENG 2;false;;false;;Comptant;true;0;
Brena;Martyn;20/05/1998;1998;2593 Roxbury Place;brenamartyn@supinfo.com;Male;Grand Est;Distanciel;B.ENG 1;2018;2020;2;B.ENG 2;false;;false;;Echelonnement;true;0;
Odey;Keaton;13/02/1984;1984;7 Dryden Place;odeykeaton@supinfo.com;Male;Nouvelle-Aquitaine;Distanciel;B.ENG 1;2007;2013;6;M.ENG 2;false;;false;;Comptant;true;0;
Josiah;Boothroyd;13/04/1983;1983;262 Jana Parkway;josiahboothroyd@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;1999;2000;1;B.ENG 1;false;;false;;Echelonnement;true;0;
Bentley;Stitle;30/07/1991;1991;3039 Roth Pass;bentleystitle@supinfo.com;Female;Bretagne;Distanciel;M.ENG 1;2016;2017;1;M.ENG 1;false;;false;;Comptant;true;0;
Alvan;Saylor;02/12/1998;1998;29 Maple Wood Crossing;alvansaylor@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2014;2015;1;B.ENG 1;false;;false;;Echelonnement;true;0;
Arly;Hardcastle;16/11/1998;1998;39508 Summer Ridge Park;arlyhardcastle@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 1;2017;;5;;true;M.ENG 2;true;Systemes Reseaux et securité;OPCA;true;0;
Mick;Bramall;29/03/1993;1993;1 7th Pass;mickbramall@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;2009;2014;5;M.ENG 2;false;;false;;Comptant;true;0;
Georges;Mogra;30/09/2000;2000;0315 Ridge Oak Way;georgesmogra@supinfo.com;Male;Grand Est;Distanciel;B.ENG 1;2017;2020;3;B.ENG 3;false;;false;;Comptant;true;0;
Rebeca;Kirsche;19/04/1980;1980;475 Gerald Lane;rebecakirsche@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2013;2019;6;M.ENG 2;false;;false;;Comptant;true;0;
Raymund;Goracci;17/09/1988;1988;5449 Garrison Avenue;raymundgoracci@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2006;2008;2;B.ENG 2;false;;false;;Comptant;true;0;
Jacquie;Northcott;09/09/1994;1994;10514 Fieldstone Alley;jacquienorthcott@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;2012;2013;1;B.ENG 1;false;;false;;Comptant;true;0;
Hendrick;Embery;09/07/1994;1994;49645 Forest Plaza;hendrickembery@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2010;2011;1;B.ENG 1;false;;false;;Comptant;true;0;
Alicea;Burbury;21/07/1984;1984;5723 Muir Trail;aliceaburbury@supinfo.com;Male;Grand Est;Distanciel;B.ENG 2;2017;;5;;true;M.ENG 2;true;Systemes Reseaux et securité;OPCA;true;0;
Creighton;Tattoo;16/05/2000;2000;409 Cherokee Trail;creightontattoo@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 2;2017;2019;2;B.ENG 3;false;;false;;Echelonnement;true;0;
Filippa;Toretta;08/02/1993;1993;41 Lillian Park;filippatoretta@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2010;2015;5;M.ENG 2;false;;false;;Echelonnement;true;0;
Drew;Jewett;10/08/1979;1979;56615 Cardinal Terrace;drewjewett@supinfo.com;Female;Grand Est;Distanciel;B.ENG 3;2005;2008;3;M.ENG 2;false;;false;;Comptant;true;0;
Codee;Sebastian;26/02/1989;1989;86437 Myrtle Road;codeesebastian@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;2006;2009;3;B.ENG 3;false;;false;;Comptant;true;0;
Tonnie;Morgans;28/03/1977;1977;78704 Twin Pines Road;tonniemorgans@supinfo.com;Male;Normandie;Caen;B.ENG 1;1995;1997;2;B.ENG 2;false;;false;;Comptant;true;0;
Glennie;Le Grice;29/09/1989;1989;89 International Junction;glenniele grice@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2009;2011;2;B.ENG 2;false;;false;;Comptant;true;0;
Opaline;Scutchin;16/04/1991;1991;36239 Reinke Crossing;opalinescutchin@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2008;2011;3;B.ENG 3;false;;false;;Comptant;true;0;
Darren;Yurenin;26/11/1999;1999;685 Corscot Center;darrenyurenin@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2018;;4;;true;M.ENG 1;false;Data Engineering;Comptant;true;0;
Rockey;Kowalski;10/02/1991;1991;37 Hagan Road;rockeykowalski@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;2017;;5;;true;M.ENG 2;true;Systemes Reseaux et securité;OPCA;true;0;
Reggie;Skerrett;27/04/2002;2002;59186 Gale Circle;reggieskerrett@supinfo.com;Female;Centre-Val de Loire;Tours;B.ENG 1;2020;;2;;true;B.ENG 2;false;;Comptant;true;0;
Franni;Wyndham;01/04/1975;1975;87 Texas Drive;franniwyndham@supinfo.com;Male;Bretagne;Distanciel;M.ENG 1;2003;2006;3;M.ENG 2;false;;false;;Comptant;true;0;
Gerti;Banbury;27/10/1981;1981;590 Hooker Alley;gertibanbury@supinfo.com;Female;Bretagne;Distanciel;B.ENG 1;2004;2008;4;M.ENG 1;false;;false;;Comptant;true;0;
Almeria;Walenta;28/02/1979;1979;97875 Myrtle Drive;almeriawalenta@supinfo.com;Female;Bretagne;Distanciel;B.ENG 1;1997;1999;2;B.ENG 2;false;;false;;Echelonnement;true;0;
Sly;Blaycock;07/05/1982;1982;8222 Cottonwood Street;slyblaycock@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2004;2008;4;M.ENG 1;false;;false;;Echelonnement;true;0;
Crichton;Wilce;07/05/1975;1975;6282 Green Ridge Terrace;crichtonwilce@supinfo.com;Female;Occitanie;Distanciel;B.ENG 1;2008;2009;1;B.ENG 1;false;;false;;Comptant;true;0;
Nefen;Baxandall;27/11/2002;2002;70402 Shasta Center;nefenbaxandall@supinfo.com;Male;Grand Est;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Comptant;true;0;
Elroy;MacPeake;26/05/1997;1997;79139 Southridge Circle;elroymacpeake@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2017;2020;3;B.ENG 3;false;;false;;Comptant;true;0;
Ivy;Nann;02/02/1994;1994;3249 Loomis Street;ivynann@supinfo.com;Female;Normandie;Caen;B.ENG 1;2011;2017;6;M.ENG 2;false;;false;;Comptant;true;0;
Lorrie;Arington;10/09/1996;1996;1309 Coleman Point;lorriearington@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2012;2015;3;B.ENG 3;false;;false;;Comptant;true;0;
Barn;Jensen;05/06/1981;1981;9 Anhalt Avenue;barnjensen@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 2;2007;2011;4;M.ENG 2;false;;false;;Comptant;true;0;
Perceval;Blackwood;08/04/1991;1991;8070 Huxley Park;percevalblackwood@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 1;2007;2013;6;M.ENG 2;false;;false;;Comptant;true;0;
Alta;Cardoso;03/11/1986;1986;267 Esker Court;altacardoso@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2002;2008;6;M.ENG 2;false;;false;;Echelonnement;true;0;
Adelind;Gilberthorpe;24/11/1984;1984;9539 Summit Drive;adelindgilberthorpe@supinfo.com;Male;Bretagne;Distanciel;B.ENG 3;2015;2018;3;M.ENG 2;false;;false;;Comptant;true;0;
Richmound;Trusty;28/11/1976;1976;26 Redwing Street;richmoundtrusty@supinfo.com;Male;Normandie;Caen;B.ENG 1;1996;1998;2;B.ENG 2;false;;false;;Comptant;true;0;
Darda;Pritchett;14/09/1979;1979;23 Sachtjen Alley;dardapritchett@supinfo.com;Male;Centre-Val de Loire;Distanciel;B.ENG 1;1997;2000;3;B.ENG 3;false;;false;;Echelonnement;true;0;
Kellie;Jebb;29/01/1991;1991;15 Miller Junction;kelliejebb@supinfo.com;Female;Bretagne;Distanciel;B.ENG 3;2017;;5;;true;M.ENG 2;true;Intelligence Artificielle;OPCA;true;0;
Janot;McNish;18/12/1977;1977;9111 Crescent Oaks Hill;janotmcnish@supinfo.com;Female;Bretagne;Distanciel;M.ENG 1;2008;2013;5;M.ENG 2;false;;false;;Comptant;true;0;
Vale;Stove;19/08/2000;2000;188 Westport Street;valestove@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2017;2018;1;B.ENG 1;false;;false;;Echelonnement;true;0;
Genevieve;Lyfe;08/02/1990;1990;74 Swallow Terrace;genevievelyfe@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2015;2017;2;B.ENG 2;false;;false;;Comptant;true;0;
Debee;Cockayne;19/02/1992;1992;090 Lillian Road;debeecockayne@supinfo.com;Female;Normandie;Caen;B.ENG 1;2008;2010;2;B.ENG 2;false;;false;;Comptant;true;0;
Dacie;Millgate;04/11/1991;1991;76946 Stoughton Junction;daciemillgate@supinfo.com;Female;Normandie;Distanciel;B.ENG 1;2009;2010;1;B.ENG 1;false;;false;;Comptant;true;0;
Kitty;Hedde;18/02/1982;1982;331 Walton Point;kittyhedde@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2006;2011;5;M.ENG 2;false;;false;;Echelonnement;true;0;
Kyla;Hayball;13/08/1978;1978;9 Dexter Lane;kylahayball@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2004;2005;1;B.ENG 1;false;;false;;Comptant;true;0;
Marna;Yearnes;03/11/1995;1995;67816 Pine View Trail;marnayearnes@supinfo.com;Female;Normandie;Caen;B.ENG 1;2020;;2;;true;B.ENG 1;false;;Comptant;true;0;
Dorelia;Pierro;13/08/1993;1993;330 Morningstar Road;doreliapierro@supinfo.com;Male;Nouvelle-Aquitaine;Distanciel;B.ENG 1;2017;;5;;true;M.ENG 2;true;Data Engineering;OPCA;true;0;
Devonne;McClelland;01/03/1991;1991;73703 Huxley Terrace;devonnemcclelland@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2008;2012;4;M.ENG 1;false;;false;;Comptant;true;0;
Irma;Woodier;11/10/1992;1992;606 Roxbury Junction;irmawoodier@supinfo.com;Female;Bretagne;Distanciel;B.ENG 1;2009;2010;1;B.ENG 1;false;;false;;Comptant;true;0;
Franni;Janous;15/10/1995;1995;881 Kennedy Avenue;frannijanous@supinfo.com;Male;Nouvelle-Aquitaine;Distanciel;B.ENG 1;2012;2015;3;B.ENG 3;false;;false;;Comptant;true;0;
Moe;Rhucroft;05/06/1984;1984;490 Summer Ridge Drive;moerhucroft@supinfo.com;Female;Centre-Val de Loire;Tours;B.ENG 1;2000;2006;6;M.ENG 2;false;;false;;Comptant;true;0;
Sukey;Surgener;04/11/1989;1989;360 Mcguire Hill;sukeysurgener@supinfo.com;Female;Bretagne;Distanciel;B.ENG 1;2006;2008;2;B.ENG 2;false;;false;;Comptant;true;0;
Lorianne;Riggott;15/10/1988;1988;71 New Castle Park;lorianneriggott@supinfo.com;Female;Bretagne;Distanciel;B.ENG 2;2014;2019;5;M.ENG 2;false;;false;;Comptant;true;0;
Bruce;Emanuelov;14/01/1981;1981;8381 Shasta Road;bruceemanuelov@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2011;2014;3;B.ENG 3;false;;false;;Echelonnement;true;0;
Maddi;Stolberger;10/08/1984;1984;65190 Ronald Regan Avenue;maddistolberger@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 3;2010;2014;4;M.ENG 2;false;;false;;Comptant;true;0;
Florette;Turbard;01/08/1998;1998;073 Delaware Point;floretteturbard@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2016;;6;;true;M.ENG 2;true;Data Engineering;OPCA;true;0;
Norah;O' Dornan;11/03/1982;1982;390 Troy Pass;noraho' dornan@supinfo.com;Male;Normandie;Caen;B.ENG 1;2008;2009;1;B.ENG 1;false;;false;;Comptant;true;0;
Rhiamon;Mc Carrick;08/01/1998;1998;68081 Packers Hill;rhiamonmc carrick@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 3;2015;2016;1;B.ENG 3;false;;false;;Echelonnement;true;0;
Wood;Mushett;09/02/2000;2000;9 Del Sol Junction;woodmushett@supinfo.com;Male;Centre-Val de Loire;Tours;M.ENG 1;2016;2019;3;M.ENG 2;false;;false;;Comptant;true;0;
Catlin;Moxon;21/01/1988;1988;366 Fordem Lane;catlinmoxon@supinfo.com;Male;Bretagne;Distanciel;B.ENG 2;2018;;4;;true;M.ENG 2;true;Intelligence Artificielle;OPCA;true;0;
Julianna;Josefson;02/06/1976;1976;93796 Rigney Trail;juliannajosefson@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2008;2011;3;B.ENG 3;false;;false;;Echelonnement;true;0;
Kristi;Staunton;10/09/1985;1985;73422 Lighthouse Bay Parkway;krististaunton@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;2003;2005;2;B.ENG 2;false;;false;;Echelonnement;true;0;
Nolly;Andric;06/08/1978;1978;3779 Bayside Circle;nollyandric@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2015;2019;4;M.ENG 1;false;;false;;Echelonnement;true;0;
Zara;Birchner;16/05/2002;2002;9764 Oakridge Parkway;zarabirchner@supinfo.com;Female;Centre-Val de Loire;Distanciel;B.ENG 1;2018;;4;;true;M.ENG 1;true;Systemes Reseaux et securité;OPCA;true;0;
Yorker;Biernacki;06/06/1976;1976;6945 Russell Pass;yorkerbiernacki@supinfo.com;Male;Hauts-de-France;Distanciel;M.ENG 1;2004;2010;6;M.ENG 2;false;;false;;Echelonnement;true;0;
Sascha;Brideaux;04/02/1998;1998;03 Johnson Lane;saschabrideaux@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2015;2018;3;B.ENG 3;false;;false;;Echelonnement;true;0;
Lorain;Ingleton;05/02/1975;1975;99239 Rowland Drive;lorainingleton@supinfo.com;Female;Normandie;Caen;B.ENG 1;1994;2000;6;M.ENG 2;false;;false;;Comptant;true;0;
Erhart;Carlsson;28/01/1977;1977;55 Blackbird Circle;erhartcarlsson@supinfo.com;Female;Normandie;Caen;B.ENG 1;2008;2013;5;M.ENG 2;false;;false;;Comptant;true;0;
Kalindi;Wakeham;18/01/1991;1991;1267 Dixon Terrace;kalindiwakeham@supinfo.com;Female;Normandie;Caen;B.ENG 1;2007;2012;5;M.ENG 2;false;;false;;Echelonnement;true;0;
Marji;Wray;09/08/2000;2000;5 Hayes Point;marjiwray@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 1;2016;2020;4;M.ENG 1;false;;false;;Comptant;true;0;
Dorene;Tregear;18/02/1994;1994;58 Londonderry Place;dorenetregear@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2012;2015;3;B.ENG 3;false;;false;;Comptant;true;0;
Bettine;Dorsey;28/03/1977;1977;85056 Scott Circle;bettinedorsey@supinfo.com;Female;Centre-Val de Loire;Tours;B.ENG 2;2017;;5;;true;M.ENG 2;true;Systemes Reseaux et securité;OPCA;true;0;
Murdoch;Botler;14/10/1996;1996;6 Boyd Circle;murdochbotler@supinfo.com;Female;Centre-Val de Loire;Tours;B.ENG 1;2017;2020;3;B.ENG 3;false;;false;;Comptant;true;0;
Robinet;Gateshill;12/03/1998;1998;443 Roxbury Parkway;robinetgateshill@supinfo.com;Female;Bretagne;Distanciel;B.ENG 1;2015;;7;;true;;true;;OPCA;true;0;
Sylvan;Nuccii;10/11/1990;1990;86 Lukken Hill;sylvannuccii@supinfo.com;Female;Corse;Distanciel;B.ENG 1;2008;2012;4;M.ENG 1;false;;false;;Echelonnement;true;0;
Neille;Wallbank;21/11/1982;1982;78 Summer Ridge Park;neillewallbank@supinfo.com;Female;Normandie;Caen;B.ENG 1;2010;2013;3;B.ENG 3;false;;false;;Comptant;true;0;
Wynnie;Wilkie;22/10/1979;1979;07204 Hayes Parkway;wynniewilkie@supinfo.com;Female;Occitanie;Distanciel;B.ENG 1;2011;2014;3;B.ENG 3;false;;false;;Echelonnement;true;0;
Sidney;Dron;22/08/2000;2000;81672 Melrose Park;sidneydron@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2016;;6;;true;M.ENG 2;true;Intelligence Artificielle;OPCA;true;0;
Natalya;Messenger;11/06/2002;2002;015 Crownhardt Hill;natalyamessenger@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 2;false;;Echelonnement;false;5159;false
Dorri;Telezhkin;02/08/1991;1991;711 Vera Center;dorritelezhkin@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2007;2008;1;B.ENG 1;false;;false;;Comptant;true;0;
Bernette;Guinness;01/06/2002;2002;4 Memorial Court;bernetteguinness@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2018;2020;2;B.ENG 2;false;;false;;Echelonnement;true;0;
Christel;Androletti;06/06/2000;2000;563 Johnson Avenue;christelandroletti@supinfo.com;Female;Nouvelle-Aquitaine;Distanciel;B.ENG 1;2018;;4;;true;M.ENG 1;true;Intelligence Artificielle;OPCA;true;0;
Mayor;Sancias;02/04/1985;1985;92 Birchwood Street;mayorsancias@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;2008;2009;1;B.ENG 1;false;;false;;Comptant;true;0;
Steward;Chalder;31/07/1983;1983;08519 Chinook Lane;stewardchalder@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2008;2013;5;M.ENG 2;false;;false;;Comptant;true;0;
Neilla;Huc;15/04/1988;1988;7 Stephen Junction;neillahuc@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2020;;2;;true;B.ENG 2;false;;Comptant;true;0;
Ameline;Boss;21/10/1995;1995;14501 Oneill Alley;amelineboss@supinfo.com;Male;Grand Est;Distanciel;B.ENG 1;2012;2017;5;M.ENG 2;false;;false;;Comptant;true;0;
Broderick;Hukin;09/03/1992;1992;9845 Bartillon Pass;broderickhukin@supinfo.com;Male;Nouvelle-Aquitaine;Distanciel;B.ENG 1;2008;2011;3;B.ENG 3;false;;false;;Comptant;true;0;
Lem;Sherston;14/07/1975;1975;48199 Toban Center;lemsherston@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 1;2002;2005;3;B.ENG 3;false;;false;;Comptant;true;0;
Winifield;Fellos;24/06/1995;1995;99283 Eagle Crest Pass;winifieldfellos@supinfo.com;Female;Centre-Val de Loire;Tours;B.ENG 1;2013;2019;6;M.ENG 2;false;;false;;Comptant;true;0;
Early;Beneyto;01/03/1979;1979;6423 Anniversary Point;earlybeneyto@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;1995;2001;6;M.ENG 2;false;;false;;Comptant;true;0;
Trevor;Haggidon;18/11/1993;1993;74474 Mosinee Terrace;trevorhaggidon@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2011;2016;5;M.ENG 2;false;;false;;Comptant;true;0;
Wolfy;Longshaw;15/04/1983;1983;7 Harbort Avenue;wolfylongshaw@supinfo.com;Female;Bretagne;Distanciel;B.ENG 1;2000;2003;3;B.ENG 3;false;;false;;Comptant;true;0;
Jyoti;Mellmoth;22/08/1982;1982;1 Susan Point;jyotimellmoth@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2000;2005;5;M.ENG 2;false;;false;;Comptant;true;0;
Loralyn;Pinder;04/04/2002;2002;02 Express Court;loralynpinder@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Comptant;true;0;
Elana;Whybray;23/01/1990;1990;32744 Messerschmidt Avenue;elanawhybray@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2008;2011;3;B.ENG 3;false;;false;;Comptant;true;0;
Darryl;Woolacott;10/03/2002;2002;0 Service Park;darrylwoolacott@supinfo.com;Male;Normandie;Caen;B.ENG 1;2018;;4;;true;M.ENG 1;true;Systemes Reseaux et securité;OPCA;true;0;
Alameda;Emmitt;04/07/1980;1980;70 Brentwood Hill;alamedaemmitt@supinfo.com;Female;Centre-Val de Loire;Distanciel;M.ENG 1;2010;2011;1;M.ENG 1;false;;false;;Echelonnement;true;0;
Kellsie;Sympson;19/10/1975;1975;4540 Red Cloud Road;kellsiesympson@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 3;2001;2006;5;M.ENG 2;false;;false;;Comptant;true;0;
Laverne;Esposito;21/01/1985;1985;044 Blaine Lane;laverneesposito@supinfo.com;Male;Hauts-de-France;Distanciel;M.ENG 1;2020;;2;;true;M.ENG 2;true;Data Engineering;OPCA;true;0;
Rosmunda;Lanfere;26/03/1975;1975;1769 Helena Point;rosmundalanfere@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;1998;1999;1;B.ENG 1;false;;false;;Comptant;true;0;
